LOCATION,ITEM NO,ITEM DESCRIPTION,PACK,SIZE,ITEM WGT,WEEKLY MVMT,ITEM COST,CASES DAMAGED,COLOR_CASES DAMAGED
A10-125-R-1986-2136-0,\s240400,TURKEY BREAST GOURMET LITE,2,7#,14,90.4,5.1,0,green
A10-125-R-1986-2136-84,\s326902,HAM ITALIAN STYLE HOT,2,5#,10,16.6,3.6,0,green
A10-126-L-2166-2160-0,\s835650,SESAME SEED TOASTED,1,50#,50,2,58.5,2,red
A10-126-L-2166-2160-84,\s762586,TURKEY BREAST JP NATURAL,2,8#,16,43.6,3.55,0,green
A10-129-R-1986-2196-0,\s265745,TURKEY BREAST LOW SODIUM,2,7.5#,15,108.2,3.63,0,green
A10-129-R-1986-2196-84,\s829233,TURKEY BREAST BROWNED DLX,2,9#,18.2,21.2,2.39,0,green
A10-130-L-2166-2208-0,\s582929,TURKEY BREAST GOLDEN BROWNED,2,8-10#,16.9,379.2,2.54,0,green
A10-130-L-2166-2208-84,\s362286,POTATOES MASHED HOMESTYLE,6,24 OZ,9,44.2,10.34,0,green
A10-134-R-1986-2256-0,\s214000,SALAMI HARD HICKORY,6,6#,36,187.6,3.28,0,green
A10-134-R-1986-2256-84,\s674500,T-SACK-THANK YOU LOW-D,1000,12X7X22,13,49.6,25.37,1,red
A10-135-L-2166-2268-0,\s557871,PEANUT BRITTLE,1,20#,20,32.6,29.55,1,red
A10-135-L-2166-2268-84,\s139100,TURKEY BREAST HOMESTYLE,2,8#,16,59.6,5.1,0,green
A10-138-R-1986-2304-0,\s226700,TURKEY BREAST OVEN ROASTED,2,8#,16,162.8,3.7,0,green
A10-138-R-1986-2304-84,\s359052,KEFIR DRINK LF MANGO,6,32 OZ,12,44.4,13.4,0,green
A10-140-L-2166-2328-0,\s935207,CHICKEN BREAST CITRUS LTO,3,5#,15,62.6,3.45,0,green
A10-140-L-2166-2328-84,\s327602,HUMMUS W/PRETZEL CLASSIC,12,4.56 OZ,4.28,190.4,13.44,0,green
A10-143-R-1986-2364-0,\s643295,MAYONNAISE PACKETS,500,12 GRAM,14.75,9.8,43.91,0,green
A10-143-R-1986-2364-84,\s895963,SACKS-HD BUSCHS SUMMER,300,1/7-70#,38,192.8,27.86,0,green
A10-145-L-2166-2388-0,\s92900,CHICKEN BREAST BBQ,2,4#,8,75.6,3.63,0,green
A10-145-L-2166-2388-84,\s559248,PORK ROAST DELI,2,3.5-4#,7.32,25.6,3.79,0,green
A10-148-R-1986-2424-0,\s217949,YOGURT GREEK STRAWBERRY 0%,12,5.3 OZ,3.975,453.4,11.64,0,green
A10-148-R-1986-2424-84,\s301662,DIP FRENCH ONION,12,8 OZ,6,45.2,7.83,0,green
A10-149-L-2166-2436-0,\s358344,SOUR CREAM SQUEEZE,12,15 OZ,11.25,300,14.84,0,green
A10-149-L-2166-2436-84,\s362337,BEEF STICKS HICKORY PROSP CH,3,2.5#,7.5,45.8,41.97,0,green
A10-14-R-1986-600-84,\s833181,MIX COOKIE SUGAR,1,35#,35,2,35.48,0,green
A10-153-R-1986-2484-0,\s240300,TURKEY BREAST HONEY #61802,2,7#,14,30.2,5.1,0,green
A10-153-R-1986-2484-84,\s272723,TORTILLAS CORN FAMILY PACK,12,32 OZ,24,42.4,20.64,0,green
A10-154-L-2166-2496-0,\s453538,PEANUTS HONEY ROASTED,1,25#,25,18.8,32,0,green
A10-154-L-2166-2496-84,\s948479,DIP ARTICHOKE & ASIAGO,4,4.4#,17.6,19,2.84,0,green
A10-157-R-1986-2532-0,\s240500,TURKEY BREAST BLK FORST SMKD,2,9.5#,19,79.4,5.1,1,red
A10-157-R-1986-2532-84,\s606031,HAM BLACK FOREST,2,9.5#,19,56.8,3.47,0,green
A10-159-L-2166-2556-0,\s893994,CHEESE COLBY JACK SHREDDED,6,2#,12,96.2,26.46,0,green
A10-159-L-2166-2556-84,\s661900,BAGS WICKET CLEAR POLY 1 MIL,1000,11X18+4,15.22,22.2,24.74,0,green
A10-15-L-2166-612-0,\s619648,WING SAUCE BUFFALO,4,GALLON,37.64,7.4,41.75,0,green
A10-15-L-2166-612-84,\s509727,PARMESAN WHEEL,1,20#,20,7.4,3.11,0,green
A10-162-R-1986-2592-0,\s617557,ICED COFFEE DOUBLE ESPRESSO,6,48 OZ,18,56.4,21.42,2,red
A10-162-R-1986-2592-84,\s206831,LICORICE ALL SORTS,4,6.6#,26.4,46.8,46.5,0,green
A10-164-L-2166-2616-0,\s126536,CHEDDAR MILD FEATHER SHREDDED,6,5#,30,202.2,1.9935,1,red
A10-164-L-2166-2616-84,\s824970,PEPPERONI SLICER REGULAR,12,2#,25.93,8.6,2.73,0,green
A10-167-R-1986-2652-84,\s953061,T-SACK HIPPO-THANK YOU,1702,12X7X22,21,74,37.32,1,red
A10-172-R-1986-2712-0,\s393056,PUNCH CITRUS,6,128 OZ,51,12.4,9.12,0,green
A10-172-R-1986-2712-84,\s916700,T-SACK-OLESONS MKTS,1000,12X7X22,16.32,63,24.94,0,green
A10-18-L-2166-672-0,\s957441,FILLING APPLE FRUITFUL PASTRY,1,40#,40,5.6,56.33,0,green
A10-18-L-2166-672-84,\s836765,PICKLES KOSHER WHOLE,1,5 GAL,46,0.8,23.89,0,green
A10-195-L-2166-3024-0,\s293805,TURKEY BREAST EXTREME CAJUN,3,4.5#,12,78.4,3.63,0,green
A10-199-L-2166-3084-0,\s616500,PAN LINER NAT QUILON 1-2 BAKE,1000,16X24,23.6,18,30.95,0,green
A10-1-L-2166-276-0,\s886603,HAM IMPORTED REDUCED SODIUM,2,11#,22,391.8,3.18,0,green
A10-1-R-1986-276-0,\s838298,PEACHES SLICED IN LIGHT SYRUP,6,#10 CAN,39.75,27.8,24.01,0,green
A10-1-R-1986-276-84,\s834100,T-SACK-THANK YOU FLAG LOW-D,1000,12X7X22,13,36,25.57,1,red
A10-202-L-2166-3132-0,\s919709,ICING BASE SMOOTH 'N LIGHT ZTF,1,45#,45,34.4,52.37,0,green
A10-206-L-2166-3192-0,\s881938,PROSCIUTTO BONELESS GOLD,2,12#,12,22.4,5.38,0,green
A10-209-L-2166-3252-0,\s225604,HAM MAPLE SUGAR GLAZED HONEY,2,10#,20,47.6,3.4,0,green
A10-20-R-1986-708-0,\s245003,GLAZE NEUTRAL FRUIT,12,2#,25,3,14.28,0,green
A10-20-R-1986-708-84,\s880266,KOMBUCHA CALIFORNIA GRAPE,12,16 OZ,22.5,13.2,27,1,red
A10-213-L-2166-3312-0,\s199045,PEANUTS SPANISH ROASTED SALTED,1,25#,25,10.4,34.7,0,green
A10-216-L-2166-3360-0,\s830682,WATER FLAT CAP MEADOWS,24,500 ML,28.5,4.8,6.75,0,green
A10-219-L-2166-3420-0,\s284332,SALAD KIDNEY BEAN,2,5#,10,47.6,1.725,0,green
A10-21-L-2166-732-0,\s832733,ALMONDS DICE BUTTERED W/S,1,30#,24,5.2,152,0,green
A10-23-R-1986-768-0,\s149600,CHEDDAR MEDIUM BLOCK*,1,40#,42.9,7.2,2.56,0,green
A10-23-R-1986-768-84,\s510169,LOAF LIVER,2,2-3#,6,38.2,2.46,0,green
A10-24-L-2166-792-0,\s189500,CREAM CHEESE,1,30#,30,58,1.8495,0,green
A10-24-L-2166-792-84,\s535406,T-SACK-NEIMANS MKTS,1000,12X7X22,15,72.2,27.08,0,green
A10-27-R-1986-828-0,\s638600,PASTRAMI SPICED BEEF,2,5#,10,25,5.19,0,green
A10-27-R-1986-828-84,\s300100,CONT SOUP GARDEN DESGN W/LID,250,12 oz,23,1.8,57.52,0,green
A10-28-L-2166-840-0,\s788500,HAM OLD TYME 10%,2,12#,24,89,1.59,0,green
A10-28-L-2166-840-84,\s585500,CONT SOUP GARDEN DESGN W/LID,250,16 OZ,23,4.6,60.92,0,green
A10-32-R-1986-888-0,\s119536,COLBY MINI HORN*,2,6#,12,531.4,2.1555,0,green
A10-32-R-1986-888-84,\s431935,CHEESE SHRED ORGANIC ITALIAN,12,6 OZ,4.5,13.4,35.88,0,green
A10-33-L-2166-900-0,\s357648,POTATO SALAD MUSTARD PACKAGED,6,32 OZ,12,1293.8,11.25,0,green
A10-33-L-2166-900-84,\s655161,BOX PIZZA JONNAS TAYLOR 14IN,50,14X14X2,17,5.4,21.58,0,green
A10-36-R-1986-936-0,\s241600,ROAST BEEF TOP ROUND,2,6#,12,17.6,5.88,0,green
A10-36-R-1986-936-84,\s620700,CONT CLEAR HINGD LBH523(SL35),500,9X5X3.5,24.1,33,52.37,0,green
A10-37-L-2166-960-0,\s243700,PEPPERONI SANDWICH STYLE,5,4#,20,60,2.57,0,green
A10-37-L-2166-960-84,\s904800,LID PLASTIC STRAW SLOT #32SL,500,32-44OZ,5,886.2,19.68,0,green
A10-3-R-1986-336-0,\s715000,T-SACK-THANK YOU ENVIRO BEIGE,1000,13X8X23,22.08,212,26.22,1,red
A10-3-R-1986-336-84,\s736600,TURKEY BREAST MAPLE GLAZED,2,7#,14,39.4,5.1,0,green
A10-40-R-1986-996-0,\s290612,HAM MAPLE HONEY,3,4#,12,69,3.41,0,green
A10-40-R-1986-996-84,\s675629,CUP THORNTON IX OWN THE WAY,1000,16 OZ,12.03,40.4,52.5,0,green
A10-41-L-2166-1020-0,\s272876,SACKS HAND UP-VILLAGE MARKET,300,1/6-70#,47,39.2,36.76,0,green
A10-41-L-2166-1020-84,\s362274,TURKEY O/R DELI SHAVED,8,9 OZ,4.5,37,12,0,green
A10-44-R-1986-1056-0,\s119836,PEPPER JACK MINI HORN,2,6#,12,134.8,2.009,0,green
A10-44-R-1986-1056-84,\s614700,BAGS BREAD CLEAR POLY .75 MIL,1000,5X5X19,9.74,38.2,14.19,0,green
A10-45-L-2166-1068-0,\s156723,RELISH CHICAGO STYLE,4,GALLON,38,14.6,18.5,0,green
A10-45-L-2166-1068-84,\s389842,EASTER PASTEL KISSES  BULK,1,25#,26.6,0,89.5,0,green
A10-49-R-1986-1116-0,\s407800,BOLOGNA DELUXE CLUB,2,13.4#,26.8,335.2,1.58,0,green
A10-49-R-1986-1116-84,\s198960,PEANUTS BLANCH ROASTED NO SALT,1,25#,25,10,38.61,0,green
A10-4-L-2166-384-84,\s672017,ICING GREEN N GLOSSY,1,23#,23,0,26.89,0,green
A10-4-R-1986-384-84,\s830024,BAG 8LB WHITE BRUSTER,4,500 CT,47,1.2,110.56,0,green
A10-50-L-2166-1128-0,\s432938,WATER IN PAPER CARTON,24,16.9 OZ,27.6,78.6,16.8,1,red
A10-50-L-2166-1128-84,\s192900,TURKEY BREAST OVEN PREPARED,2,8#,16,41.2,2.79,0,green
A10-53-R-1986-1164-0,\s931644,PUDDING ALMONDMILK DRK CHOC,6,4/3.75Z,5.625,38.8,11.1186,0,green
A10-53-R-1986-1164-84,\s559180,CHICKEN BREAST HONEY GRILLED,2,6.5#,13,34,4.59,0,green
A10-54-L-2166-1188-0,\s735826,HANK'S VANILLA CREAM,6,4 PK,33.25,16.5,18,2,red
A10-54-L-2166-1188-84,\s351000,GLOVES VINYL PF LARGE,10,100 CT,14.7,439.2,16.8,0,green
A10-57-R-1986-1224-0,\s359049,KEFIR DRINK LF PLAIN,6,32 OZ,12,109.4,13.4,0,green
A10-57-R-1986-1224-84,\s902585,T-SACK MARTINS,1000,12X7X22,23,587.6,16.75,0,green
A10-58-L-2166-1248-0,\s670300,BAGS BROWN KRAFT 20# SQUAT HD,500,8X6X13,31,100,18.98,0,green
A10-58-L-2166-1248-84,\s820700,ICING CHOCOLATE DONUT,1,38#,40,38.8,52.1,0,green
A10-61-R-1986-1284-0,\s277300,HAM VIRGINIA BRAND,2,13#,26,142.8,2.39,0,green
A10-61-R-1986-1284-84,\s198994,PEANUTS BLANCH ROASTED SALTED,1,25#,25,11.2,38.54,0,green
A10-62-L-2166-1296-0,\s145018,POTATO SALAD DEVILED EGG,2,8#,16,476.4,1.75,0,green
A10-62-L-2166-1296-84,\s416176,SALAD COUSCOUS FETA AND MINT,2,4#,8,36.8,2.82,0,green
A10-66-R-1986-1344-0,\s907711,DOUGH COOKIE EDIBLE CONFETTI,32,3.5 OZ,7,56.4,35.2,0,green
A10-66-R-1986-1344-84,\s528818,GUMMI RATTLESNAKE 27 INCH,1,20#,20,0,44.51,0,green
A10-67-L-2166-1356-0,\s357459,POTATO SALAD AMERICAN,2,5#,10,489.8,0.86,0,green
A10-67-L-2166-1356-84,\s831876,GUMMI PEACH RINGS,6,5#,30,2.8,30.15,0,green
A10-6-L-2166-444-0,\s797903,PINEAPPLE TIDBITS IN LT SYRUP,6,81 OZ,34,2.8,29.88,0,green
A10-70-R-1986-1392-0,\s868715,EGG NOG TRADITIONAL,12,32 OZ,24,0,27,0,green
A10-70-R-1986-1392-84,\s714283,CHIPS PLANTAIN SALTED,4,5#,20,40.8,42,0,green
A10-71-L-2166-1416-0,\s190800,TURKEY BREAST CRK PEP/SEAS,3,4#,12,62,3.63,1,red
A10-71-L-2166-1416-84,\s663621,PEAS FRIED SALTED BULK,2,11#,22,39.2,23.54,0,green
A10-74-R-1986-1452-0,\s221900,HAM HONEY CURED #12950,3,6.5#,19.5,208.4,3.41,0,green
A10-74-R-1986-1452-84,\s762558,TURKEY BREAST JP MESQUITE,2,8#,16,39.4,3.5,0,green
A10-75-L-2166-1476-0,\s273900,SAUERKRAUT 2# POLY,12,2#,27,17.8,20.82,0,green
A10-75-L-2166-1476-84,\s643380,BAG BREAD POLY EVA W,1000,11X13X3,9.5,39.8,21.18,0,green
A10-78-R-1986-1512-0,\s92800,CHICKEN BREAST BUFFALO,2,4#,8,100.8,3.63,0,green
A10-78-R-1986-1512-84,\s670800,BAGS BROWN KRAFT LIQUOR PINT,500,4X2X11,7,40.4,7.57,0,green
A10-79-L-2166-1524-0,\s232556,FILM MEAT DIGI,1,"16""4500",27,15.8,52.17,0,green
A10-79-L-2166-1524-84,\s714700,BAGS POP CAN TOMRA 1.3 MIL,100,37X52,30.5,10.2,35.14,0,green
A10-83-R-1986-1572-0,\s233000,CAPICOLA HOT,3,5#,15,41,3.99,3,red
A10-83-R-1986-1572-84,\s861014,HONEY CURED DELI HAM,4,6#,24,5.6,3.06,0,green
A10-84-L-2166-1584-0,\s277700,BOLOGNA CLEVELAND,3,12#,36,48.8,1.34,2,red
A10-84-L-2166-1584-84,\s358860,"PIZZA CRUST 12"" THIN & CRISPY",12,2/16 OZ,24,11,34.8,0,green
A10-87-R-1986-1620-0,\s115600,MUENSTER SQUARE YELLOW*,6,5#,36,239.6,2.0335,0,green
A10-87-R-1986-1620-84,\s83900,JALAPENO LOAF,3,3.2#,9.6,41.4,3.09,0,green
A10-88-L-2166-1644-0,\s615800,DRESSING REF SLAW,4,GALLON,36,57.6,37.64,6,red
A10-88-L-2166-1644-84,\s835099,AMERICAN YELLOW 120CT,4,5#,20,13.6,43.14,0,green
A10-8-R-1986-492-0,\s840566,TOPPING CARAMEL,6,96 OZ,50.86,12.4,47.23,0,green
A10-8-R-1986-492-84,\s608500,BOX CAKE WINDOW EXPRESSIONS,50,1/2 SHT,29.2,37.2,42.49,0,green
A10-91-R-1986-1680-0,\s645709,TRAY-FOOD RED PLAID 1#,1000,1#,12.5,30.2,15.73,1,red
A10-91-R-1986-1680-84,\s425186,LEMONADE ICE TEA HALF/HALF,8,59 OZ,29.5,41.4,12.88,0,green
A10-92-L-2166-1704-0,\s621606,MUSTARD YELLOW 104 OZ JUG,6,104 OZ,42,6.2,23.07,2,red
A10-92-L-2166-1704-84,\s606600,CRACKER OYSTER INDIV PACK,150,.5 OZ,3,42.6,13.31,2,red
A10-95-R-1986-1740-0,\s171002,SALAMI HARD,6,6.5#,39,445,3.24,0,green
A10-95-R-1986-1740-84,\s432496,PEANUT CLUSTER MAPLE CREAM,1,23#,23,9.6,55.7,0,green
A10-96-L-2166-1752-0,\s417009,GRAPEFRUIT JUICE PURE SQUEEZE,6,59 OZ,25.65,27.6,19.61,0,green
A10-96-L-2166-1752-84,\s370011,COTTAGE CHEESE SMALL CURD,12,8 OZ,6,42.6,10.6718,0,green
A10-9-L-2166-504-0,\s425254,LEMONADE DIET,8,59 OZ,29.5,35.8,12.88,2,red
A1-101-L-114-1812-0,\s925687,POPCORN DRIZZLE SHIPPER,36,13.1 OZ,41,8.5,73.8,0,green
A1-101-L-114-1812-60,\s359145,YOGURT PLAIN 0 %,6,32 OZ,12,68.6,17.16,0,green
A1-101-R--66-1812-0,\s444345,PEPPERS RED ROASTED,6,#10 CAN,45,16.6,28.5,0,green
A1-101-R--66-1812-60,\s530841,TUB SM GUMMI BEARS ASSORTED,12,13 OZ,9.75,66.4,18.69,0,green
A1-105-L-114-1872-0,\s766219,DRINK EXPOSED ALOE & HONEY,12,16.9 OZ,12.68,29.2,13.5,0,green
A1-105-L-114-1872-60,\s838130,PASTA SAUCE MARINARA FULL RED,6,#10 CAN,46,7.8,25.07,0,green
A1-105-R--66-1872-0,\s409900,MILK EVAPORATED,6,#10,47,10.2,47.25,0,green
A1-105-R--66-1872-60,\s359151,YOGURT FRENCH VANILLA LOW FAT,6,32 OZ,12,68.6,17.16,0,green
A1-109-L-114-1932-0,\s836758,PICKLES SPEARS KOSHER,1,5 GAL,46,0.4,24.73,0,green
A1-109-L-114-1932-60,\s359073,KEFIR DRINK FF PLAIN,6,32 OZ,12,70.2,13.4,0,green
A1-109-R--66-1932-0,\s374703,TUB LG DRIED CRANBERRIES,12,13 OZ,10.75,69.4,20.27,0,green
A1-109-R--66-1932-60,\s670700,SACKS BROWN KRAFT,400,1/6-75#,56,72,32.41,1,red
A11-100-R-2214-1800-0,\s251214,HAM BLACK FOREST W/NAT JUICES,2,4.5#,9,75.4,4.6,0,green
A11-100-R-2214-1800-48,\s425152,LEMONADE ORIGINAL,8,59 OZ,29.5,166.6,12.88,4,red
A11-101-L-2394-1812-0,\s292975,T-SACK-VALLI PRODUCE,1000,11X6X21,17,324.8,13.42,0,green
A11-101-L-2394-1812-60,\s205300,CORNED BEEF RND CAP-OFF#46802,2,6#,12,39.4,5.88,0,green
A11-104-R-2214-1848-0,\s126036,MOZZARELLA /PROV 50/50 SHRED*,6,5#,30,251.8,2.0235,0,green
A11-104-R-2214-1848-48,\s694533,DATES PITTED DEGLET NOOR,1,20#,20,121.8,31,1,red
A11-105-L-2394-1872-0,\s570417,ROAST BEEF TOP ROUND MEDIUM,2,7-9#,16.82,31.6,4.07,0,green
A11-105-L-2394-1872-60,\s424400,SWISS BABY,2,5#,10.5,24.2,4.06,0,green
A11-107-R-2214-1896-48,\s201102,DRESSING REF BLUE CHS SUPREME,4,GALLON,31.01,3.8,47.86,0,green
A11-108-R-2214-1908-0,\s702700,CASHEWS 320 RST W/S ALL NATRL,1,25#,25,20.6,145,0,green
A11-108-R-2214-1908-48,\s200000,TURKEY BREAST OVEN ROASTED,2,8#,16,193.4,3.63,0,green
A11-109-L-2394-1932-0,\s215892,CRUMBS GRAHAM CRACKER,1,25#,25,26.2,32.94,0,green
A11-109-L-2394-1932-60,\s943691,KOMBUCHA HOPPED GRAPEFRUIT OG,12,14 OZ,19,34.4,21.5,0,green
A11-10-R-2214-540-48,\s839594,PUMPKIN SPICE CARAMELS,1,23#,21.62,0,33.95,0,green
A11-111-R-2214-1956-48,\s461685,WAFERS DARK CHOC FLVD ALPINE,1,25#,25,15.2,34,0,green
A11-112-R-2214-1968-0,\s419423,CHEESE PIZZA DERBY*,6,5#,30,8.2,2.087,0,green
A11-112-R-2214-1968-48,\s369200,TURKEY BREAST SUNDRIED TOMATO,3,3.5#,10.5,22.8,3.6,0,green
A11-113-L-2394-1980-0,\s566864,TEA FLAVOR PEACH,36,8 OZ,31,6.8,31.1,0,green
A11-113-L-2394-1980-60,\s957941,T-SACK-SHOP&SAVE CHICAGO,1000,11X6X21,12.92,238,13.57,0,green
A11-116-R-2214-2016-48,\s840195,HOT PEPPER CHEESE LOAF,6,5#,30,60.8,1.7,0,green
A11-117-R-2214-2028-0,\s241000,HAM DEEP SMOKED BLACK FOREST,1,9#,9,114.2,4.6,0,green
A11-117-R-2214-2028-48,\s100500,AMERICAN CHEESE YELLOW,6,5#,30,1062,2.555,0,green
A11-118-L-2394-2040-0,\s218606,TURKEY BREAST BACON LOVER,1,5#,5,46.8,5.3,0,green
A11-118-L-2394-2040-60,\s244814,SALAMI HARD,6,4.16#,25,5.4,3.41,0,green
A11-121-R-2214-2076-48,\s307500,T-SACK-GT PIE ENVIRO,1000,12X7X22,23,4,26.9,0,green
A11-121-R-2214-2076-48,\s926233,COOKIE DARK MILK CHOC SHP,48,4.4 OZ,13.2,7,85,0,green
A11-122-L-2394-2100-0,\s443308,BEANS CANNELINNI WHITE KIDNEY,1,55#,55,5.6,33,0,green
A11-122-L-2394-2100-60,\s267500,RING MOLD DESSERT PINEAPPL CRM,6,19 OZ,8.5,57.8,7.2,0,green
A11-124-R-2214-2124-48,\s394960,TOFFEE ASSORTED FOIL WRAPPED,1,30#,30,5.6,47.33,2,red
A11-125-R-2214-2136-0,\s764553,KOMBUCHA LEMONGRASS GINGER,12,16 OZ,12,21.6,26.45,2,red
A11-125-R-2214-2136-48,\s827826,PEPPERONI SLICED BULK,2,12.5#,25,56,3.1075,0,green
A11-126-L-2394-2160-0,\s531249,WAFER DARK GREEN,1,25#,25,0,40.25,0,green
A11-126-L-2394-2160-60,\s375580,JELLY BEANS,1,31#,31,0,28.71,0,green
A11-128-R-2214-2184-48,\s840244,CHEDDAR PURE SHREDDED*,6,5#,30,19,1.8181,0,green
A11-129-R-2214-2196-0,\s110500,MOZZARELLA WHOLE MILK SHRED,6,5#,30,18.8,2.608,0,green
A11-129-R-2214-2196-48,\s437834,T-SACK-WEBSTERS PNS,1000,12X7X21,17.2,36,19.77,0,green
A11-12-L-2394-564-0,\s256902,MELLO CREME MIX FALL FESTIVAL,1,30#,31,19,30.5,0,green
A11-130-L-2394-2208-0,\s667302,SACKS HAND UP-STOCK PRNT PLAIN,300,1/6-70#,47,16.2,34.03,0,green
A11-130-L-2394-2208-60,\s681443,HAM WHOLE CHERRY WOOD,4,6 #,24,0,3.19,0,green
A11-133-R-2214-2244-48,\s291734,BUTTER UNSALTED QUARTERS*,36,1#,36,23.2,2.8225,0,green
A11-134-R-2214-2256-0,\s443563,SAUSAGE RSTD GARLIC & GRUYERE,8,12 OZ,6,34,28.8,0,green
A11-134-R-2214-2256-48,\s632517,SACKS HAND DN-VALLI,300,6-Jan,43,90,31,0,green
A11-135-L-2394-2268-0,\s281000,FOOTBALL LOAF,1,8#,8,77.6,3.09,0,green
A11-135-L-2394-2268-60,\s771600,MARGARINE/BUTTER LIQUID NH,2,17.5#,35,25.6,26.26,0,green
A11-138-R-2214-2304-0,\s291751,BUTTER SALTED QUARTERS*,36,1#,36,83.4,2.8025,0,green
A11-138-R-2214-2304-48,\s607015,HALLOWEEN GUMMI WORMS,4,5#,22,17,22.51,0,green
A11-138-R-2214-2304-48,\s831927,GUMMI BEARS SOUR NEON,6,5#,30,10,30,0,green
A1-113-L-114-1980-60,\s722200,PIZZA SAUCE SUPER HVY W BASIL,6,#10 CAN,45.9,10.6,19.68,0,green
A1-113-R--66-1980-0,\s601645,BEANS GREEN CUT 4 SV,6,#10 CAN,39,89.4,19.5,0,green
A1-113-R--66-1980-60,\s828813,COLBY MINI HORN*,2,6#,12.06,73,2.1475,0,green
A11-140-L-2394-2328-0,\s358539,NOODLES EGG MEDIUM,12,16 OZ,12,58.2,20.27,0,green
A11-140-L-2394-2328-60,\s980741,GOUDA SMOKED KOSHER BAR NY,12,8 OZ,6,20.2,27.9,0,green
A11-143-R-2214-2364-0,\s495532,GUMMI BEARS,1,30#,30,7.8,29.55,0,green
A11-143-R-2214-2364-48,\s216400,PARMESAN SHREDDED,4,5#,20,92.2,3.4,0,green
A11-145-L-2394-2388-0,\s531317,WAFER WHITE PEPPERMINT BURST,1,25#,25,0,37.75,0,green
A11-145-L-2394-2388-60,\s841728,MOZZARELLA PART SKIM CHSE*,8,6#,50.04,20.2,1.8405,0,green
A11-147-R-2214-2412-48,\s961761,CUP BUDDY SLEEVE SOHO RSK20,1200,12-20OZ,24,5.2,62.23,0,green
A11-148-R-2214-2424-0,\s433403,JUICE LEMON FROM CONCENTRATE,12,32 OZ.,26,38.8,12.11,0,green
A11-148-R-2214-2424-48,\s620029,CONT CLEAR HINGED TAMP CH8DEF,200,8 OZ,8.4,31.6,18.4,0,green
A11-149-L-2394-2436-0,\s617591,ICED COFFEE COLD BREW MOCHA,6,48 OZ,18,0,21.42,0,green
A11-149-L-2394-2436-60,\s582600,SUPER HOT PEPPER CHEESE WISC,2,5#,10,59.2,2.925,0,green
A11-152-R-2214-2472-48,\s115000,MOZZARELLA PART SKIM DICED,6,5#,30,12.8,2.608,0,green
